-0.75,4413
-0.25,2037
2.15,165
0.0,1438
2.6500000000000004,102
1.4500000000000002,305
0.6000000000000001,748
-0.6000000000000001,3449
1.75,241
2.5,126
0.75,614
2.5500000000000003,119
1.4000000000000001,314
1.0,436
-0.45,2746
0.9500000000000001,517
2.0,2146
0.4,858
0.55,753
2.45,144
1.35,317
0.05,1401
-0.8,4802
-0.1,1710
1.3,369
2.35,131
0.9,519
0.5,798
1.25,372
4.0,15525
2.25,154
0.30000000000000004,1081
1.7000000000000002,249
2.4000000000000004,128
-0.8500000000000001,5453
-0.30000000000000004,2278
2.3000000000000003,147
0.7000000000000001,652
-1.05,15
-0.65,3670
1.6500000000000001,249
2.2,146
-0.4,2575
0.2,1165
-0.05,1598
1.6,232
1.55,293
2.1,161
0.45,850
-0.7000000000000001,4090
0.65,652
-0.5,2975
0.25,995
1.9500000000000002,189
1.5,280
0.15000000000000002,1207
0.8500000000000001,525
1.2000000000000002,397
-0.15000000000000002,1742
2.0500000000000003,160
0.35000000000000003,955
1.1500000000000001,389
-0.9,5696
1.9000000000000001,207
2.7,3338
0.8,668
0.1,1272
1.85,225
1.1,410
-0.55,3247
-0.2,1955
-1.0,361
1.8,203
2.6,119
1.05,466
-0.35000000000000003,2406
-0.9500000000000001,6647
